date,hold out,subject_line_1,subject_line_2
2011-10-01,63.4,62.7,72.2
2011-10-02,58.0,59.9,67.7
2011-10-03,53.3,59.1,69.4
2011-10-04,55.7,58.8,68.0
2011-10-05,64.2,58.7,72.4
2011-10-06,58.8,57.0,77.0
2011-10-07,57.9,56.7,82.3
2011-10-08,61.8,56.8,78.9
2011-10-09,69.3,56.7,68.8
2011-10-10,71.2,60.1,68.7
2011-10-11,68.7,61.1,70.3
2011-10-12,61.8,61.5,75.3
2011-10-13,63.0,64.3,76.6
2011-10-14,66.9,67.1,66.6
2011-10-15,61.7,64.6,68.0
2011-10-16,61.8,61.6,70.6
2011-10-17,62.8,61.1,71.1
2011-10-18,60.8,59.2,70.0
2011-10-19,62.1,58.9,61.6
2011-10-20,65.1,57.2,57.4
2011-10-21,55.6,56.4,64.3
2011-10-22,54.4,60.7,72.4
